idTerytWojewodztwo,Wojewodztwo,idTypPodmiotu,Typ podmiotu,idJezykMniejszosci,Jezyk mniejszosci,liczba uczniów,liczba podmiotów
2,DOLNOŚLĄSKIE,1,Przedszkole,11,ukraiński,40,1
2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,4,hebrajski,106,1
2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,7,łemkowski,84,14
2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,8,niemiecki,175,3
2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,11,ukraiński,38,4
2,DOLNOŚLĄSKIE,14,Liceum ogólnokształcące,4,hebrajski,40,1
2,DOLNOŚLĄSKIE,14,Liceum ogólnokształcące,11,ukraiński,4,1
4,KUJAWSKO-POMORSKIE,1,Przedszkole,6,litewski,183,1
4,KUJAWSKO-POMORSKIE,3,Szkoła podstawowa,8,niemiecki,27,1
6,LUBELSKIE,3,Szkoła podstawowa,11,ukraiński,21,3
8,LUBUSKIE,1,Przedszkole,11,ukraiński,25,2
8,LUBUSKIE,3,Szkoła podstawowa,7,łemkowski,16,3
8,LUBUSKIE,3,Szkoła podstawowa,8,niemiecki,551,8
8,LUBUSKIE,3,Szkoła podstawowa,11,ukraiński,14,3
12,MAŁOPOLSKIE,1,Przedszkole,7,łemkowski,12,2
12,MAŁOPOLSKIE,3,Szkoła podstawowa,7,łemkowski,122,12
12,MAŁOPOLSKIE,3,Szkoła podstawowa,9,ormiański,4,1
12,MAŁOPOLSKIE,3,Szkoła podstawowa,10,słowacki,201,7
12,MAŁOPOLSKIE,3,Szkoła podstawowa,11,ukraiński,40,4
12,MAŁOPOLSKIE,14,Liceum ogólnokształcące,7,łemkowski,8,1
12,MAŁOPOLSKIE,14,Liceum ogólnokształcące,11,ukraiński,2,1
12,MAŁOPOLSKIE,16,Technikum,7,łemkowski,3,1
14,MAZOWIECKIE,1,Przedszkole,11,ukraiński,55,5
14,MAZOWIECKIE,3,Szkoła podstawowa,1,białoruski,14,1
14,MAZOWIECKIE,3,Szkoła podstawowa,4,hebrajski,143,1
14,MAZOWIECKIE,3,Szkoła podstawowa,8,niemiecki,40,1
14,MAZOWIECKIE,3,Szkoła podstawowa,9,ormiański,10,1
14,MAZOWIECKIE,3,Szkoła podstawowa,11,ukraiński,89,3
14,MAZOWIECKIE,3,Szkoła podstawowa,12,rosyjski,16,1
14,MAZOWIECKIE,14,Liceum ogólnokształcące,4,hebrajski,70,1
14,MAZOWIECKIE,14,Liceum ogólnokształcące,11,ukraiński,21,2
16,OPOLSKIE,1,Przedszkole,8,niemiecki,5989,105
