idTerytGmina,idTerytWojewodztwo,Wojewodztwo,Powiat,Gmina,Typ obszaru,idTypPodmiotu,Typ podmiotu,lb_ucz_cudzoziem_ogółem,"obywatel państwa członkowskiego UE, państwa członkowskiego EFTA lub Konfederacji Szwajcarskiej albo członek rodziny takiej osoby posiadający prawo pobytu lub prawo stałego pobytu",osoba pochodzenia polskiego w rozumieniu przepisów o repatriacji,"osoba, której udzielono zezwolenia na osiedlenie się na terytorium RP",osoba posiadająca ważną Kartę Polaka,"osoba, której nadano status uchodźcy, albo członek rodziny takiej osoby",osoba posiadająca zgodę na pobyt tolerowany,"osoba, której udzielono ochrony uzupełniającej, albo członek rodziny takiej osoby",osoba korzystająca z ochrony czasowej na terytorium RP,"osoba, której na terytorium RP udzielono zezwolenia na pobyt rezydenta długoterminowego UE","osoba, której na terytorium RP udzielono zezwolenia na zamieszkanie na czas oznaczony w związku z okolicznością, o której mowa w art. 53 ust. 1 pkt 7, 13 i 14 ustawy o cudzoziemcach",członek rodziny osoby ubiegającej się o nadanie statusu uchodźcy,"osoba, której uprawnienie do nauki wynika z umowy międzynarodowej.",inny,"osoba, której udzielono zezwolenia na pobyt stały na terytorium RP","osoba, której udzielono zgody na pobyt ze względów humanitarnych, albo członek rodziny takiej osoby","osoba, której na terytorium RP udzielono zezwolenia na pobyt czasowy w związku z okolicznością, o której mowa w art. 127, art.159 ust. 1, art. 176 lub art. 186 ust. 1 pkt 3 lub 4 ustawy o cudzoziemcach","osoba, która posiada kartę pobytu z adnotacją ""dostęp do rynku pracy"", wizę Schengen lub wizę krajową wydaną w celu wykonywania pracy na terytorium RP",członek rodziny osoby ubiegającej się o udzielenie ochrony międzynarodowej,brak statusu w SIO
201011,2,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,obszar miejski,1,Przedszkole,102,2,,,,52,1,,,,,,,34,9,,3,,,1
201011,2,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,obszar miejski,3,Szkoła podstawowa,317,,,,,52,,3,,,,,,241,5,,14,,,2
201011,2,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,obszar miejski,14,Liceum ogólnokształcące,45,1,,,,3,,,,,,,,35,,,,,,6
201011,2,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,obszar miejski,16,Technikum,90,1,,,,20,,,,,,,,62,2,3,1,,,1
201011,2,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,obszar miejski,19,Szkoła policealna,177,,,,2,43,,,,,,,,,2,,67,63,,
201011,2,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,obszar miejski,85,Szkoła muzyczna I stopnia,9,,,,,7,,,,,,,,,,,2,,,
201011,2,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,obszar miejski,93,Branżowa szkoła I stopnia,61,,,,,1,,,,,,,,57,,,2,,,1
201011,2,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,obszar miejski,94,Branżowa szkoła II stopnia,2,,,,,,,,,,,,,2,,,,,,
201022,2,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,obszar wiejski,1,Przedszkole,4,,,,,3,,,,,,,,,,,1,,,
201022,2,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,obszar wiejski,3,Szkoła podstawowa,30,,,,1,22,,,,,,,,5,,,,1,,1
